acsf_model(name='t6',
           num_molecules=100000,
           acsf_Gs=acsf_Gs(G2_params=[(0.4, 0.2), (0.6, 0.2)],
                           G4_params=[(0.4, 2, 1), (0.6, 2, 1), (0.6, 2, -1)],
                           Rc=5.0),
           paths=paths(data_path='data/t3.pkl',
                       model_path='results/t6',
                       plot_path='plots/t6',
                       linear_model='results/t6_linear'),
           results=results(avg_dif=0, mae=0, max_d=0),
           nn_props=nn_props(nodes=[64, 64, 32, 1],
                             batch_size=32,
                             epochs=400,
                             learning_rate=0.001))
found data at data/t3.pkl
Number of Molecules: 100000
RMSE of least squares fitting: 11.223900352298045
MAE of least squares fitting : 8.306690234500989
starting training...
Epoch,	Training E,	 Validation E	 Estimated Time Left
162,	 2.586675e+01,	 2.885796e+01	 18.08 Hours
163,	 2.574962e+01,	 2.837970e+01	 18.00 Hours
164,	 2.577153e+01,	 2.806252e+01	 17.92 Hours
165,	 2.568033e+01,	 2.798515e+01	 17.85 Hours
166,	 2.574563e+01,	 2.765755e+01	 17.77 Hours
167,	 2.558836e+01,	 2.774794e+01	 17.69 Hours
168,	 2.556509e+01,	 2.789011e+01	 17.62 Hours
169,	 2.545221e+01,	 2.759145e+01	 17.54 Hours
170,	 2.539607e+01,	 2.762652e+01	 17.46 Hours
171,	 2.533817e+01,	 2.789839e+01	 17.39 Hours
172,	 2.527834e+01,	 2.706910e+01	 17.31 Hours
173,	 2.523664e+01,	 2.680737e+01	 17.24 Hours
174,	 2.529146e+01,	 2.719328e+01	 17.16 Hours
175,	 2.516321e+01,	 2.830128e+01	 17.09 Hours
176,	 2.518631e+01,	 2.733071e+01	 17.01 Hours
177,	 2.496730e+01,	 2.709732e+01	 16.93 Hours
178,	 2.489146e+01,	 2.674123e+01	 16.86 Hours
179,	 2.488632e+01,	 2.799951e+01	 16.78 Hours
180,	 2.481701e+01,	 2.600381e+01	 16.70 Hours
181,	 2.476022e+01,	 2.528607e+01	 16.63 Hours
182,	 2.465397e+01,	 2.562326e+01	 16.55 Hours
183,	 2.481334e+01,	 2.623606e+01	 16.48 Hours
184,	 2.469958e+01,	 2.666783e+01	 16.40 Hours
185,	 2.464293e+01,	 2.582049e+01	 16.33 Hours
186,	 2.453330e+01,	 2.588218e+01	 16.27 Hours
187,	 2.461822e+01,	 2.623330e+01	 16.21 Hours
188,	 2.441921e+01,	 2.563394e+01	 16.15 Hours
189,	 2.442034e+01,	 2.535303e+01	 16.08 Hours
190,	 2.447168e+01,	 2.582086e+01	 16.01 Hours
191,	 2.435539e+01,	 2.538063e+01	 15.94 Hours
192,	 2.428080e+01,	 2.459099e+01	 15.87 Hours
193,	 2.422729e+01,	 2.524700e+01	 15.80 Hours
194,	 2.421766e+01,	 2.492606e+01	 15.73 Hours
195,	 2.417686e+01,	 2.461841e+01	 15.66 Hours
196,	 2.413804e+01,	 2.519095e+01	 15.58 Hours
197,	 2.418190e+01,	 2.446030e+01	 15.51 Hours
198,	 2.409681e+01,	 2.474538e+01	 15.43 Hours
199,	 2.404311e+01,	 2.437154e+01	 15.36 Hours
200,	 2.404588e+01,	 2.427561e+01	 15.28 Hours
201,	 2.403539e+01,	 2.532579e+01	 15.20 Hours
202,	 2.397304e+01,	 2.488734e+01	 15.13 Hours
203,	 2.385445e+01,	 2.495739e+01	 15.05 Hours
204,	 2.390628e+01,	 2.474252e+01	 14.97 Hours
205,	 2.385969e+01,	 2.534139e+01	 14.90 Hours
206,	 2.377098e+01,	 2.491649e+01	 14.82 Hours
207,	 2.384308e+01,	 2.544591e+01	 14.74 Hours
208,	 2.387600e+01,	 2.520654e+01	 14.66 Hours
209,	 2.358893e+01,	 2.444143e+01	 14.59 Hours
210,	 2.363024e+01,	 2.397218e+01	 14.51 Hours
211,	 2.379087e+01,	 2.521062e+01	 14.43 Hours
212,	 2.363541e+01,	 2.472962e+01	 14.36 Hours
213,	 2.350892e+01,	 2.459636e+01	 14.28 Hours
214,	 2.355055e+01,	 2.477028e+01	 14.20 Hours
215,	 2.351923e+01,	 2.443654e+01	 14.13 Hours
216,	 2.342446e+01,	 2.462051e+01	 14.05 Hours
217,	 2.341940e+01,	 2.422155e+01	 13.97 Hours
218,	 2.336860e+01,	 2.412939e+01	 13.90 Hours
219,	 2.340568e+01,	 2.408431e+01	 13.82 Hours
220,	 2.331839e+01,	 2.431634e+01	 13.75 Hours
221,	 2.321037e+01,	 2.374647e+01	 13.67 Hours
222,	 2.321826e+01,	 2.355669e+01	 13.59 Hours
223,	 2.317505e+01,	 2.400462e+01	 13.51 Hours
224,	 2.320081e+01,	 2.409047e+01	 13.44 Hours
225,	 2.323002e+01,	 2.367982e+01	 13.36 Hours
226,	 2.308224e+01,	 2.387362e+01	 13.28 Hours
227,	 2.311835e+01,	 2.334789e+01	 13.21 Hours
228,	 2.293489e+01,	 2.416476e+01	 13.13 Hours
229,	 2.312874e+01,	 2.392470e+01	 13.05 Hours
230,	 2.307032e+01,	 2.291332e+01	 12.98 Hours
231,	 2.284829e+01,	 2.391962e+01	 12.90 Hours
232,	 2.296169e+01,	 2.394997e+01	 12.82 Hours
233,	 2.290687e+01,	 2.315863e+01	 12.75 Hours
234,	 2.282656e+01,	 2.314515e+01	 12.67 Hours
235,	 2.273995e+01,	 2.392386e+01	 12.59 Hours
236,	 2.277718e+01,	 2.267277e+01	 12.52 Hours
237,	 2.269739e+01,	 2.335921e+01	 12.44 Hours
238,	 2.272510e+01,	 2.356779e+01	 12.37 Hours
239,	 2.276302e+01,	 2.290024e+01	 12.29 Hours
240,	 2.264131e+01,	 2.276416e+01	 12.22 Hours
241,	 2.277233e+01,	 2.331349e+01	 12.14 Hours
242,	 2.261325e+01,	 2.341968e+01	 12.07 Hours
243,	 2.264735e+01,	 2.349732e+01	 11.99 Hours
244,	 2.254574e+01,	 2.322256e+01	 11.92 Hours
245,	 2.260335e+01,	 2.293742e+01	 11.85 Hours
246,	 2.249674e+01,	 2.281897e+01	 11.78 Hours
247,	 2.245909e+01,	 2.286180e+01	 11.71 Hours
248,	 2.245548e+01,	 2.315900e+01	 11.64 Hours
249,	 2.239755e+01,	 2.293444e+01	 11.56 Hours
250,	 2.240924e+01,	 2.223895e+01	 11.49 Hours
251,	 2.243052e+01,	 2.213985e+01	 11.41 Hours
252,	 2.235558e+01,	 2.311004e+01	 11.34 Hours
253,	 2.237953e+01,	 2.258791e+01	 11.26 Hours
